Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
35,Indemnity to Leonardo for Special Risk Indemnity - DEFCON 638 (Flights Liability and Indemnity) relating to the Merlin Integrated Operational Support contract.,2018-06-01,2024-03-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 12 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.83,1, £-   ," £500,000.00 "," £1,000,000.00 "," £210,000.00 "
36,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) on the Merlin Integrated Operational Support programme. ,2018-06-01,2024-03-31,"£42,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects estimated costs based on the loss of 1 x Merlin Mk2 and 3 aircrew. There has been no crystallisation of this indemnity and the contract expires within the next 12 months.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.83,1, £-   ," £500,000.00 "," £1,000,000.00 "," £210,000.00 "
37,Indemnity to Leonardo for Special Risk Indemnity - DEFCON 638 (Flights Liability and Indemnity) relating to the Apache Integrated Operational Support contract.,2018-11-21,2024-03-31,"£50,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects complete loss of 1 x Apache helicopter. No such incidents have arisen to date and the contract has less than 12 months to run so residual exposure extremely small. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.36,1, £-   ," £500,000.00 "," £1,000,000.00 "," £250,000.00 "
38,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) on the Apache Integrated Operational Support programme. ,2018-11-21,2024-03-31,"£50,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,The reasonable worst case valuation reflects complete loss of 1 x Apache helicopter. No such incidents have arisen to date and the contract has less than 12 months to run so residual exposure extremely small. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.36,1, £-   ," £500,000.00 "," £1,000,000.00 "," £250,000.00 "
39,Condition 60 TUPE - Transfer of Undertakings (Protection of Employment) indemnity to Leonardo associated with staff transfers under the Integrated Operational Support contract for Apache.,2018-11-21,2024-03-31,"£150,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Quantifiable,Remote Core,No crystallisation of the risk to date and the contract has less than 12 months to run.  It is therefore considered extremely unlikely that claims will be made and maximum exposure now judged to be just £150K.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.36,1, £-   ," £500,000.00 "," £1,000,000.00 ", £750.00 
40,Indemnity to Leonardo for Special Risk Indemnity - DEFCON 638 (Flights Liability and Indemnity) relating to integration of weapon system on Wildcat helicopter. ,2021-10-26,2027-02-28,"£13,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation assumes complete loss of 1 x Wildcat platform during weapon integration.  No such incidents have arisen on the programme and probability considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.34,3.91, £-   ," £128,000.00 "," £256,000.00 "," £65,000.00 "
41,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) associated with integration of Weapon system on the platform. ,2021-10-26,2027-02-28,"£13,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation assumes complete loss of 1 x Wildcat platform during weapon integration.  No such incidents have arisen on the programme and probability considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.34,3.91, £-   ," £128,000.00 "," £256,000.00 "," £65,000.00 "
42,Indemnity to Leonardo for Special Risk Indemnity - DEFCON 638 (Flights Liability and Indemnity) relating to Wildcat programme ,2022-01-14,2027-03-31,"£13,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation assumes complete loss of 1 x Wildcat platform.  No such incidents have arisen on the programme and probability considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.21,4, £-   ," £125,000.00 "," £250,000.00 "," £65,000.00 "
43,Indemnity to Leonardo for Special Risk - DEFCON 684 (Limitation Upon Claims in Respect of Aviation Products) associated with the Wildcat Programme,2022-01-14,2027-03-31,"£13,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The reasonable worst case valuation assumes complete loss of 1 x Wildcat platform.  No such incidents have arisen on the programme and probability considered extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",5.21,4, £-   ," £125,000.00 "," £250,000.00 "," £65,000.00 "
44,Indemnity to Standard Aero for support to Gazelle AH Mk 1. Standard Indemnity for Aviation Products DEFCON 684,2018-02-09,2024-03-31,"£1,300,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Reasonable worst case valuation reflects current replacement cost for 1 x Gazelle aircraft.  Contract expires in less than 12 months so risk of crystallisation now judged to be extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.14,1, £-   ," £500,000.00 "," £1,000,000.00 "," £6,500.00 "
45,Indemnity to Standard Aero for Gazelle AH MK1.  Standard IndemnityAircraft Flight and Taxiing Trials DEFCON 638 ,2018-02-09,2024-03-31,"£1,300,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Reasonable worst case valuation reflects current replacement cost for 1 x Gazelle aircraft.  Contract expires in less than 12 months so risk of crystallisation now judged to be extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",6.14,1, £-   ," £500,000.00 "," £1,000,000.00 "," £6,500.00 "
46,Indemnity to Airbus for PUMA Mk 2 Helicopter support.  Standard Indemnity for Aviation Products DEFCON 684,2022-03-15,2025-03-31,"£18,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The out of service date of the PUMA has been brought forward as a result of the Defence Command Paper review.  The reasonable worst case value reflects the value of 1 x Puma aircraft.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",3.04,2, £-   ," £250,000.00 "," £500,000.00 "," £90,000.00 "
47,Indemnity to Gama Aviation for Gazelle Helicopter support.  Standard Indemnity for Aviation Products DEFCON 684,2022-04-05,2024-04-03,"£1,300,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,Reasonable worst case valuation reflects current replacement cost for 1 x Gazelle aircraft.  Contract expires in less than 12 months so risk of crystallisation now judged to be extremely low. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",2,1.01, £-   ," £495,000.00 "," £990,000.00 "," £6,500.00 "
48,Indemnity to Sloane Helicopters for Rotary Wing Command Air Transport servies for point to point transportation of VVIPs. Standard Indemnity under DEFCON 684 Aviation Products,2021-03-12,2023-12-31,"£5,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The CL will expire within the next 6 months and likelihood of crystallisation considered extremely remote. Reasonable worst case reflects the loss of 1 x AW109SP Helicopter.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",2.8,0.75, £-   ," £667,000.00 "," £1,333,000.00 "," £25,000.00 "
49,A War Risk Indemnity associated with commercially supported shipping. ,2018-04-30,2029-01-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,The MOD has not had conflict losses associated with commercially supported shipping in many decades and therefore the value of any potential losses and probability of occurrence considered extremely low.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.76,5.84, £-   ," £86,000.00 "," £171,000.00 "," £2,500.00 "
50,Indemnity relates to Battle of Britain Material Flight which was been in existence for several decades.  Applies to multiple parties involved in maintaining the BBMF assets in this case Lancaster Bomber). Standard DEFCON 684 (Aviation Products),2015-07-01,2026-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,There has been no crystallisation of the indemnity and costs associated with any incidents considered immaterial. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.75,3, £-   ," £167,000.00 "," £333,000.00 "," £2,500.00 "
51,Indemnity relates to Battle of Britain Material Flight which was been in existence for several decades.  Applies to multiple parties involved in maintaining the BBMF assets in this case Lancaster Bomber. Standard DEFCON 638 (Flight and Taxiing Trials).,2015-07-01,2026-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,There has been no crystallisation of the indemnity and costs associated with any incidents considered immaterial. ,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",10.75,3, £-   ," £167,000.00 "," £333,000.00 "," £2,500.00 "
52,Indemnity relates to Battle of Britain Material Flight which was been in existence for several decades.  Applies to multiple parties involved in maintaining the BBMF assets in this case airframe components). Standard DEFCON 684 (Aviation Products),2016-04-01,2024-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,There has been no crystallisation of the indemnity and costs associated with any incidents considered immaterial. Contract has less than 12 months left.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",8,1, £-   ," £500,000.00 "," £1,000,000.00 "," £2,500.00 "
53,Indemnity relates to Battle of Britain Material Flight which was been in existence for several decades.  Applies to multiple parties involved in maintaining the BBMF assets in this case Airframe Components. Standard DEFCON 638 (Flight and Taxiing Trials).,2016-04-01,2024-03-31,"£500,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section O,Section O,No Exposure to Listed Risks,Unquantifiable,Remote Core,There has been no crystallisation of the indemnity and costs associated with any incidents considered immaterial. Contract has less than 12 months left.,Ongoing,O,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",8,1, £-   ," £500,000.00 "," £1,000,000.00 "," £2,500.00 "
